encoder,dataset,fold,method,hyper,accuracy,macro_f1,weighted_f1,n_iter
whisper_small,esc50,5,mlp,h512_a1e-02,0.86,0.8498547367665015,0.8498547367665015,216.0
whisper_small,esc50,5,knn,k11,0.73,0.7139595488043463,0.7139595488043463,
wavtok_40_unify,iemocap_4class,Ses01,mlp,h512_a1e-05,0.394166043380703,0.3458840255415121,0.3480549912409396,92.0
wavtok_40_unify,iemocap_4class,Ses01,mlp,h512_a1e-04,0.3896783844427823,0.3336064789180621,0.3454917516045506,127.0
wavtok_40_unify,iemocap_4class,Ses01,mlp,h512_a1e-03,0.3964098728496634,0.3466645988420181,0.3502799889221101,92.0
wavtok_40_unify,iemocap_4class,Ses01,mlp,h512_a1e-02,0.4255796559461481,0.3835600061046238,0.395635464326536,291.0
wavtok_40_unify,iemocap_4class,Ses01,knn,k11,0.3679880329094989,0.338169658776062,0.3494746357864959,
wavtok_40_unify,iemocap_4class,Ses02,mlp,h512_a1e-05,0.4883346741753821,0.4468706443980502,0.4628147405483146,76.0
wavtok_40_unify,iemocap_4class,Ses02,mlp,h512_a1e-04,0.496379726468222,0.4538769227604374,0.4717410526276469,139.0
wavtok_40_unify,iemocap_4class,Ses02,mlp,h512_a1e-03,0.4923572003218021,0.4428575837805173,0.4626119658975052,76.0
wavtok_40_unify,iemocap_4class,Ses02,mlp,h512_a1e-02,0.4915526950925181,0.3718027613377146,0.412866978864458,187.0
wavtok_40_unify,iemocap_4class,Ses02,knn,k11,0.4078841512469831,0.3729211610076982,0.3984077416539436,
wavtok_40_unify,iemocap_4class,Ses03,mlp,h512_a1e-05,0.3319615912208505,0.2929677702473844,0.3170125487782773,86.0
wavtok_40_unify,iemocap_4class,Ses03,mlp,h512_a1e-04,0.360082304526749,0.3557317268628153,0.3590085427418418,244.0
wavtok_40_unify,iemocap_4class,Ses03,mlp,h512_a1e-03,0.3676268861454047,0.3657483868024398,0.3694602904332366,152.0
wavtok_40_unify,iemocap_4class,Ses03,mlp,h512_a1e-02,0.3936899862825789,0.3816283681328774,0.3867687047427782,244.0
wavtok_40_unify,iemocap_4class,Ses03,knn,k11,0.3840877914951989,0.3661834326656006,0.3739852975139167,
wavtok_40_unify,iemocap_4class,Ses04,mlp,h512_a1e-05,0.4774774774774775,0.4254571154837733,0.4462399654412486,141.0
wavtok_40_unify,iemocap_4class,Ses04,mlp,h512_a1e-04,0.4774774774774775,0.4228141098571532,0.4460215124833505,141.0
wavtok_40_unify,iemocap_4class,Ses04,mlp,h512_a1e-03,0.4722222222222222,0.4116076388004742,0.4332415449317023,141.0
wavtok_40_unify,iemocap_4class,Ses04,mlp,h512_a1e-02,0.4857357357357357,0.4514109153288729,0.4700751620270066,300.0
wavtok_40_unify,iemocap_4class,Ses04,knn,k11,0.4241741741741742,0.3854514354646237,0.4150370119280998,
wavtok_40_unify,iemocap_4class,Ses05,mlp,h512_a1e-05,0.484406104844061,0.4548729671069675,0.4779031949208756,97.0
wavtok_40_unify,iemocap_4class,Ses05,mlp,h512_a1e-04,0.4724618447246184,0.4421276261812511,0.466291201409979,97.0
wavtok_40_unify,iemocap_4class,Ses05,mlp,h512_a1e-03,0.4804246848042468,0.4548975656786664,0.4757936173336604,97.0
wavtok_40_unify,iemocap_4class,Ses05,mlp,h512_a1e-02,0.4817518248175182,0.4486489083539818,0.4744006278374523,97.0
wavtok_40_unify,iemocap_4class,Ses05,knn,k11,0.4240212342402123,0.4050775216901333,0.4240791748042664,
wavtok_40_unify,ravdess,1,mlp,h512_a1e-05,0.29,0.2803574859293912,0.2842331701765359,230.0
wavtok_40_unify,ravdess,1,mlp,h512_a1e-04,0.3466666666666667,0.3357586906815487,0.3390949843460329,223.0
wavtok_40_unify,ravdess,1,mlp,h512_a1e-03,0.3466666666666667,0.331961873708877,0.3357018606917676,223.0
wavtok_40_unify,ravdess,1,mlp,h512_a1e-02,0.3266666666666666,0.3128677851767157,0.3141177943845752,223.0
wavtok_40_unify,ravdess,1,knn,k11,0.24,0.2282521184832804,0.2292845292190452,
wavtok_40_unify,ravdess,2,mlp,h512_a1e-05,0.2566666666666666,0.2259311375329986,0.2356598800351985,231.0
wavtok_40_unify,ravdess,2,mlp,h512_a1e-04,0.24,0.2100590081310213,0.2198962753397561,201.0
wavtok_40_unify,ravdess,2,mlp,h512_a1e-03,0.26,0.2281826486712921,0.238061491916045,231.0
wavtok_40_unify,ravdess,2,mlp,h512_a1e-02,0.23,0.2097084595410633,0.2185608183822624,300.0
wavtok_40_unify,ravdess,2,knn,k11,0.23,0.2106441178983434,0.2211782871617418,
